"","deputy_name","deputy_state","political_party","refund_description","company_name","company_id","refund_date","refund_value"
"28","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","DILUBRA COMERCIAL DE COMBUST. E MAQ. LTDA",13872841000200,"2016-01-22T00:00:00",139.46
"29","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","D & B COMERCIAL LTDA",5548976000120,"2016-04-04T00:00:00",100
"30","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","COML. DE COMBUSTIVEIS CIDADE JARDIM LTDA",2377962000190,"2016-08-11T00:00:00",157.59
"31","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","COML. DE COMBUSTIVEIS CIDADE JARDIM LTDA",2377962000190,"2016-04-07T00:00:00",133.82
"32","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","COMERCIO DE PETROLEO R.S SILVA LTDA",13712435000100,"2016-02-03T00:00:00",150.47
"33","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","COMERCIAL DE COMBUSTIVEIS CIDADE JARDIM LTDA",2377962000190,"2016-12-15T00:00:00",50
"34","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","COMERCIAL DE COMBUSTIVEIS CIDADE JARDIM LTDA",2377962000190,"2016-12-28T00:00:00",172.01
"35","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","COMERCIAL DE COMBUSTIVEIS CIDADE JARDIM LTDA",2377962000190,"2016-11-10T00:00:00",100
"36","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","CASCOL COMBUSTIVEIS PARA VEICULOS LTDA",306597005085,"2016-08-25T00:00:00",50
"37","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","COMERCIAL DE COMBUSTIVEIS CIDADE JARDIM LTDA",2377962000190,"2016-10-18T00:00:00",100
"38","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","COMERCIAL DE COMB. CIDADE JARDIM LTDA",2377962000190,"2016-03-10T00:00:00",150
"39","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","COMERCIAL DE COMB. CIDADE JARDIM LTDA",2377962000190,"2016-02-26T00:00:00",100
"40","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","CASCOL COMBUSTÍVEIS PARA VEÍVULOS LTDA",306597006723,"2016-02-29T00:00:00",150
"41","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","PETROIL COMBUSTIVEIS LTDA",2072286000650,"2016-04-09T01:00:00",150
"42","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Paraíso Comércio de Derivados de Petróleo e Serviços Ltda",34060764000200,"2016-10-28T00:00:00",100
"43","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Pacifico Comércio e Serviços de Combustíveis Ltda",6948623000180,"2016-08-10T00:00:00",50
"44","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046002000,"2016-04-01T00:00:00",336.39
"45","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046002000,"2016-03-13T00:00:00",245.02
"46","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046002000,"2016-12-14T00:00:00",50
"47","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046001200,"2016-07-03T00:00:00",150
"48","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046001200,"2016-05-20T00:00:00",50
"49","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046001200,"2016-02-18T00:00:00",240.42
"50","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046000300,"2016-04-29T00:00:00",150
"51","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Pacifico Comércio e Serviços de Combustíveis Ltda",6948623000180,"2016-06-11T00:00:00",262.36
"52","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Pacifico Comércio e Serviços de Combustíveis Ltda",6948623000180,"2016-05-22T00:00:00",224.53
"53","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Pacifico Comércio e Serviços de Combustíveis Ltda",6948623000180,"2016-01-19T00:00:00",148.21
